window,true_label,true_activity,predicted,dominant_freq_hz,acf_step_freq_hz,steps_in_window,step_rate_per_min,mag_mean,mag_std,mag_rms,wavelet_A4,wavelet_D4,wavelet_D3,wavelet_D2,wavelet_D1,reason
1,C,Stairs,Walking,0.784,0.714,4,94.1,10.2174,1.552,10.3346,0,0,0,0.0076,0.0004,Step freq ~0.78 Hz
2,C,Stairs,Walking,1.176,1.25,4,94.1,10.3173,2.1796,10.545,0,0,0,0.0086,0.0007,Step freq ~1.25 Hz
3,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,10.0804,1.5701,10.2019,0,0,0,0.0029,0.0001,Step freq ~1.57 Hz
4,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,10.574,1.8228,10.73,0,0,0,0.0025,0.0002,Step freq ~1.57 Hz
5,C,Stairs,Walking,1.176,1.333,3,70.6,9.8828,2.3183,10.1511,0,0,0,0.0055,0.0008,Step freq ~1.33 Hz
6,C,Stairs,Walking,1.176,1.333,4,94.1,10.0664,2.0612,10.2753,0,0,0,0.0131,0.0003,Step freq ~1.33 Hz
7,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.85,3.0511,11.2709,0,0,0,0.0041,0.0002,Step freq ~1.67 Hz
8,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.2982,2.8615,10.6884,0,0,0,0.0121,0.0006,Step freq ~1.67 Hz
9,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.4281,2.7365,10.7811,0,0,0,0.0186,0.0003,Step freq ~1.67 Hz
10,C,Stairs,Brisk Walking,0.392,2.857,4,94.1,11.5016,3.0363,11.8956,0,0,0,0.0077,0.0053,Step freq ~2.86 Hz
11,C,Stairs,Walking,1.176,0.606,4,94.1,10.8049,3.5774,11.3817,0,0,0,0.0112,0.001,Step freq ~1.18 Hz
12,C,Stairs,Brisk Walking,1.569,1.333,4,94.1,10.4056,2.2793,10.6523,0,0,0,0.0135,0.0006,Step freq ~1.57 Hz
13,C,Stairs,Brisk Walking,1.569,1.538,3,70.6,10.2596,2.4547,10.5492,0,0,0,0.0077,0.0004,Step freq ~1.57 Hz
14,C,Stairs,Walking,1.176,1.053,3,70.6,9.9143,1.5178,10.0298,0,0,0,0.0018,0.0001,Step freq ~1.18 Hz
15,C,Stairs,Brisk Walking,1.569,1.333,4,94.1,9.8837,2.0869,10.1016,0,0,0,0.0033,0.0003,Step freq ~1.57 Hz
16,C,Stairs,Brisk Walking,1.961,2.0,5,117.6,10.8169,3.7084,11.435,0,0,0,0.0172,0.001,Step freq ~2.00 Hz
17,C,Stairs,Brisk Walking,1.176,1.818,4,94.1,10.1496,3.2,10.6421,0,0,0,0.0129,0.0025,Step freq ~1.82 Hz
18,C,Stairs,Brisk Walking,1.961,1.818,5,117.6,10.6998,2.765,11.0513,0,0,0,0.0128,0.0005,Step freq ~1.96 Hz
19,C,Stairs,Brisk Walking,1.569,1.538,4,94.1,10.3224,1.9943,10.5133,0,0,0,0.0037,0.0004,Step freq ~1.57 Hz
20,C,Stairs,Brisk Walking,1.569,1.429,3,70.6,9.8743,2.8139,10.2674,0,0,0,0.0045,0.0004,Step freq ~1.57 Hz
21,C,Stairs,Brisk Walking,1.569,1.667,3,70.6,10.3503,2.2549,10.5931,0,0,0,0.0038,0.0003,Step freq ~1.67 Hz
22,C,Stairs,Brisk Walking,1.569,1.538,3,70.6,10.4925,1.8754,10.6587,0,0,0,0.0051,0.0002,Step freq ~1.57 Hz
23,C,Stairs,Brisk Walking,1.569,1.667,3,70.6,10.1117,1.6734,10.2492,0,0,0,0.0031,0.0003,Step freq ~1.67 Hz
24,C,Stairs,Brisk Walking,1.961,1.818,4,94.1,10.3384,2.8504,10.7242,0,0,0,0.0067,0.0005,Step freq ~1.96 Hz
25,C,Stairs,Brisk Walking,1.961,2.0,5,117.6,10.4045,3.1843,10.8809,0,0,0,0.014,0.0007,Step freq ~2.00 Hz
26,C,Stairs,Brisk Walking,1.569,1.818,4,94.1,9.8978,2.577,10.2278,0,0,0,0.0141,0.0009,Step freq ~1.82 Hz
27,C,Stairs,Brisk Walking,1.569,2.0,5,117.6,10.4856,2.0666,10.6873,0,0,0,0.0074,0.0004,Step freq ~2.00 Hz
28,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.766,1.8092,10.917,0,0,0,0.0034,0.0006,Step freq ~1.67 Hz
29,C,Stairs,Brisk Walking,1.569,1.538,4,94.1,11.0649,1.991,11.2427,0,0,0,0.0019,0.0002,Step freq ~1.57 Hz
30,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.8408,1.9565,11.016,0,0,0,0.0057,0.0005,Step freq ~1.67 Hz
31,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,10.4079,1.7515,10.5543,0,0,0,0.004,0.0006,Step freq ~1.57 Hz
32,C,Stairs,Brisk Walking,1.569,1.667,3,70.6,10.2578,1.8974,10.4318,0,0,0,0.0096,0.0008,Step freq ~1.67 Hz
33,C,Stairs,Brisk Walking,1.961,2.0,4,94.1,10.3783,3.0573,10.8192,0,0,0,0.0102,0.0008,Step freq ~2.00 Hz
34,C,Stairs,Brisk Walking,1.961,1.818,4,94.1,10.2344,2.8922,10.6352,0,0,0,0.0063,0.0006,Step freq ~1.96 Hz
35,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.7081,3.2416,11.188,0,0,0,0.0066,0.0005,Step freq ~1.67 Hz
36,C,Stairs,Brisk Walking,1.569,1.818,4,94.1,10.8076,3.0484,11.2293,0,0,0,0.0155,0.0024,Step freq ~1.82 Hz
37,C,Stairs,Brisk Walking,1.569,1.429,3,70.6,9.0878,2.6975,9.4797,0,0,0,0.0067,0.0019,Step freq ~1.57 Hz
38,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,11.6515,3.4623,12.155,0,0,0,0.0147,0.0005,Step freq ~1.57 Hz
39,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,10.7277,2.0624,10.9241,0,0,0,0.004,0.0002,Step freq ~1.57 Hz
40,C,Stairs,Brisk Walking,1.569,1.429,2,47.1,10.484,2.1383,10.6999,0,0,0,0.0053,0.0004,Step freq ~1.57 Hz
41,C,Stairs,Brisk Walking,1.961,1.667,3,70.6,10.1824,2.1758,10.4123,0,0,0,0.0123,0.0006,Step freq ~1.96 Hz
42,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.5502,3.0511,10.9825,0,0,0,0.009,0.0007,Step freq ~1.67 Hz
